R219	:EX_co_b
R220	:EX_coa_b
R221	:EX_core5_b
R222	:EX_core7_b
R223	:EX_core8_b
R224	:EX_coumarin_b
R225	:EX_creat_b
R226	:EX_crm_hs_b
R227	:EX_crmp_hs_b
R228	:EX_crn_b
R229	:EX_crtsl_b
R230	:EX_crtstrn_b
R231	:EX_crvnc_b
R232	:EX_csn_b
R233	:EX_ctp_b
R234	:EX_cyan_b
R235	:EX_cynt_b
R236	:EX_cys_L_b
R237	:EX_cysam_b
R238	:EX_cytd_b
R239	:EX_dad_2_b
R240	:EX_dag_hs_b
R241	:EX_datp_b
R242	:EX_dca_b
R243	:EX_dchac_b
R244	:EX_dcmp_b
R245	:EX_dcsptn1_b
R246	:EX_dctp_b
R247	:EX_dcyt_b
R248	:EX_dd2coa_b
R249	:EX_ddeccrn_b
R250	:EX_ddece1crn_b
R251	:EX_debrisoquine_b
R252	:EX_decdicrn_b
R253	:EX_dem2emgacpail_prot_hs_b
R254	:EX_dgchol_b
R255	:EX_dgmp_b
R256	:EX_dgpi_prot_hs_b
R257	:EX_dgsn_b
R258	:EX_dgtp_b
R259	:EX_dha_b
R260	:EX_dhap_b
R261	:EX_dhdascb_b
R262	:EX_dheas_b
R263	:EX_dhf_b
R264	:EX_digalsgalside_hs_b
R265	:EX_din_b
R266	:EX_dlnlcg_b
R267	:EX_dmantipyrine_b
R268	:EX_dmhptcrn_b
R269	:EX_doco13ac_b
R270	:EX_docosac_b
R271	:EX_dopa_b
R272	:EX_dopasf_b
R273	:EX_dpcoa_b
R274	:EX_drib_b
R275	:EX_dtdp_b
R276	:EX_dtmp_b
R277	:EX_dttp_b
R278	:EX_duri_b
R279	:EX_eaflatoxin_b
R280	:EX_ebastine_b
R281	:EX_ebastineoh_b
R282	:EX_eicostet_b
R283	:EX_elaid_b
R284	:EX_estradiol_b
R285	:EX_estradiolglc_b
R286	:EX_estriolglc_b
R287	:EX_estroneglc_b
R288	:EX_estrones_b
R289	:EX_ethamp_b
R290	:EX_etoh_b
R291	:EX_fad_b
R292	:EX_fald_b
R293	:EX_fe2_b
R294	:EX_fe3_b
R295	:EX_fmn_b
R296	:EX_fol_b
R297	:EX_for_b
R298	:EX_fru_b
R299	:EX_fuc13galacglcgal14acglcgalgluside_hs_b
R300	:EX_fuc14galacglcgalgluside_hs_b
R301	:EX_fuc_L_b
R302	:EX_fucacgalfucgalacglcgalgluside_hs_b
R303	:EX_fucacngal14acglcgalgluside_hs_b
R304	:EX_fucfuc12gal14acglcgalgluside_hs_b
R305	:EX_fucfuc132galacglcgal14acglcgalgluside_hs_b
R306	:EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_b
R307	:EX_fucfucfucgalacglcgal14acglcgalgluside_hs_b
R308	:EX_fucfucgalacglcgalgluside_hs_b
R309	:EX_fucgal14acglcgalgluside_hs_b
R310	:EX_fucgalfucgalacglcgalgluside_hs_b
R311	:EX_fucgalgbside_hs_b
R312	:EX_fum_b
R313	:EX_g1p_b
R314	:EX_gal_b
R315	:EX_galacglcgalgbside_hs_b
R316	:EX_galfuc12gal14acglcgalgluside_hs_b
R317	:EX_galfucgalacglcgal14acglcgalgluside_hs_b
R318	:EX_galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs_b
R319	:EX_galgalgalthcrm_hs_b
R320	:EX_galside_hs_b
R321	:EX_gam_b
R322	:EX_gbside_hs_b
R323	:EX_gchola_b
R324	:EX_gdp_b
R325	:EX_glc_D_b
R326	:EX_glcur_b
R327	:EX_glgchlo_b
R328	:EX_gln_L_b
R329	:EX_gltcho_b
R330	:EX_glu_L_b
R331	:EX_gluala_b
R332	:EX_gly_b
R333	:EX_glyb_b
R334	:EX_glyc3p_b
R335	:EX_glyc_S_b
R336	:EX_glyc_b
R337	:EX_glygly_b
R338	:EX_glygn2_b
R339	:EX_glygn4_b
R340	:EX_glygn5_b
R341	:EX_glyleu_b
R342	:EX_glyphe_b
R343	:EX_glypro_b
R344	:EX_glysar_b
R345	:EX_gmp_b
R346	:EX_gncore2_b
R347	:EX_gpi_sig_b
R348	:EX_gsn_b
R349	:EX_gt1a_hs_b
R350	:EX_gthox_b
R351	:EX_gthrd_b
R352	:EX_gtp_b
R353	:EX_gua_b
R354	:EX_gum_b
R355	:EX_gumgchol_b
R356	:EX_gumtchol_b
R357	:EX_h2o2_b
R358	:EX_h2o_b
R359	:EX_h_b
R360	:EX_ha_b
R361	:EX_ha_pre1_b
R362	:EX_hco3_b
R363	:EX_hcoumarin_b
R364	:EX_hd_b
R365	:EX_hestratriol_b
R366	:EX_hexc_b
R367	:EX_his_L_b
R368	:EX_hista_b
R369	:EX_hom_L_b
R370	:EX_hpdca_b
R371	:EX_hretn_b
R372	:EX_htaxol_b
R373	:EX_hxan_b
R374	:EX_hyptaur_b
R375	:EX_i_b
R376	:EX_idour_b
R377	:EX_idp_b
R378	:EX_ile_L_b
R379	:EX_imp_b
R380	:EX_inost_b
R381	:EX_ins_b
R382	:EX_itp_b
R383	:EX_ivcrn_b
R384	:EX_k_b
R385	:EX_lac_D_b
R386	:EX_lac_L_b
R387	:EX_lcts_b
R388	:EX_leu_L_b
R389	:EX_leugly_b
R390	:EX_leuktrA4_b
R391	:EX_leuktrB4_b
R392	:EX_leuktrC4_b
R393	:EX_leuktrD4_b
R394	:EX_leuktrE4_b
R395	:EX_leuktrF4_b
R396	:EX_leuleu_b
R397	:EX_lgnc_b
R398	:EX_limnen_b
R399	:EX_lipoate_b
R400	:EX_lnlc_b
R401	:EX_lnlnca_b
R402	:EX_lnlncg_b
R403	:EX_lpchol_hs_b
R404	:EX_lys_L_b
R405	:EX_mag_hs_b
R406	:EX_mal_L_b
R407	:EX_malcoa_b
R408	:EX_malt_b
R409	:EX_malthp_b
R410	:EX_malthx_b
R411	:EX_maltpt_b
R412	:EX_malttr_b
R413	:EX_maltttr_b
R414	:EX_man_b
R415	:EX_mem2emgacpail_prot_hs_b
R416	:EX_meoh_b
R417	:EX_mepi_b
R418	:EX_met_L_b
R419	:EX_mthgxl_b
R420	:EX_n2m2nmasn_b
R421	:EX_n5m2masn_b
R422	:EX_na1_b
R423	:EX_nac_b
R424	:EX_nad_b
R425	:EX_nadp_b
R426	:EX_ncam_b
R427	:EX_nh4_b
R428	:EX_nifedipine_b
R429	:EX_no2_b
R430	:EX_no_b
R431	:EX_npthl_b
R432	:EX_nrpphr_b
R433	:EX_nrpphrsf_b
R434	:EX_nrvnc_b
R435	:EX_o2_b
R436	:EX_o2s_b
R437	:EX_ocdcea_b
R438	:EX_octa_b
R439	:EX_oh1_b
R440	:EX_omeprazole_b
R441	:EX_onpthl_b
R442	:EX_orn_b
R443	:EX_orot_b
R444	:EX_oxa_b
R445	:EX_paf_hs_b
R446	:EX_pan4p_b
