M246:	3octdece1coa_m
M247:	3octdece1crn_c
M248:	3octdece1crn_e
M249:	3octdectecoa_m
M250:	3octdectecoa_x
M251:	3octpencoa_m
M252:	3odcoa_m
M253:	3odcoa_x
M254:	3oddcoa_m
M255:	3oddcoa_x
M256:	3ohdcoa_m
M257:	3ohdcoa_x
M258:	3ohodcoa_c
M259:	3ohodcoa_l
M260:	3ohodcoa_r
M261:	3ohodcoa_x
M262:	3ohxccoa_x
M263:	3otdcoa_m
M264:	3otdcoa_x
M265:	3padsel_c
M266:	3pg_c
M267:	3pg_m
M268:	3php_c
M269:	3sala_c
M270:	3sala_m
M271:	3snpyr_c
M272:	3snpyr_m
M273:	3spyr_c
M274:	3spyr_m
M275:	3tdcrn_c
M276:	3tdcrn_e
M277:	3tetd7ecoa_c
M278:	3tetd7ecoa_m
M279:	3tetd7ecoacrn_c
M280:	3tetd7ecoacrn_e
M281:	3thexddcoa_c
M282:	3thexddcoa_m
M283:	3thexddcoacrn_c
M284:	3thexddcoacrn_e
M285:	3ttetddcoa_c
M286:	3ttetddcoa_m
M287:	3ttetddcoacrn_c
M288:	3ttetddcoacrn_e
M289:	3uib_c
M290:	3ump_c
M291:	3ump_e
M292:	42A3HP24DB_c
M293:	44mctr_c
M294:	44mctr_r
M295:	44mzym_r
M296:	46dhoxquin_c
M297:	48dhoxquin_c
M298:	4aabutn_c
M299:	4aabutn_m
M300:	4abut_c
M301:	4abut_e
M302:	4abut_l
M303:	4abut_m
M304:	4abut_n
M305:	4abutn_c
M306:	4abutn_e
M307:	4abutn_m
M308:	4aphdob_c
M309:	4fumacac_c
M310:	4h2oglt_c
M311:	4h2oglt_m
M312:	4hbz_m
M313:	4hbzcoa_m
M314:	4hdebrisoquine_c
M315:	4hdebrisoquine_e
M316:	4hexdtetcoa_m
M317:	4hexdtetcoa_x
M318:	4hexdtricoa_m
M319:	4hexdtricoa_x
M320:	4hglusa_m
M321:	4hoxpacd_c
M322:	4hphac_c
M323:	4hphac_e
M324:	4hpro_LT_c
M325:	4hpro_LT_e
M326:	4hpro_LT_m
M327:	4hpro_LT_r
M328:	4izp_c
M329:	4mlacac_c
M330:	4mop_c
M331:	4mop_e
M332:	4mop_m
M333:	4mptnl_c
M334:	4mptnl_e
M335:	4mptnl_m
M336:	4mptnl_r
M337:	4mtolbutamide_c
M338:	4mtolbutamide_e
M339:	4mzym_int1_r
M340:	4mzym_int2_r
M341:	4nph_c
M342:	4nph_e
M343:	4nphsf_c
M344:	4nphsf_e
M345:	4ppan_c
M346:	4ppan_m
M347:	4ppcys_c
M348:	4ppcys_m
M349:	4pyrdx_c
M350:	4pyrdx_e
M351:	4tmeabut_c
M352:	4tmeabut_m
M353:	4tmeabutn_c
M354:	56dihindlcrbxlt_c
M355:	56dthm_c
M356:	56dthm_m
M357:	56dura_c
M358:	5HPET_c
M359:	5HPET_r
M360:	5a2opntn_x
M361:	5adtststerone_c
M362:	5adtststerone_e
M363:	5adtststerone_l
M364:	5adtststerone_m
M365:	5adtststerone_r
M366:	5adtststeroneglc_c
M367:	5adtststeroneglc_e
M368:	5adtststeroneglc_r
M369:	5adtststerones_c
M370:	5adtststerones_e
M371:	5adtststerones_l
M372:	5adtststerones_r
M373:	5aop_c
M374:	5aop_m
M375:	5dhf_c
M376:	5dhf_e
M377:	5dhf_l
M378:	5dhf_m
M379:	5dpmev_c
M380:	5dpmev_x
M381:	5forthf_c
M382:	5fthf_c
M383:	5fthf_e
M384:	5fthf_m
M385:	5g2oxpt_x
M386:	5homeprazole_c
M387:	5homeprazole_e
M388:	5hoxindact_c
M389:	5hoxindact_m
M390:	5hoxindoa_c
M391:	5hoxindoa_m
M392:	5hoxnfkyn_c
M393:	5htrp_c
M394:	5htrp_e
M395:	5hxkyn_c
M396:	5hxkynam_c
M397:	5mdr1p_c
M398:	5mdru1p_c
M399:	5moxact_c
M400:	5mta_c
M401:	5mta_e
M402:	5mthf_c
M403:	5mthf_e
M404:	5mthf_n
M405:	5mthf_r
M406:	5oxpro_c
