G276	:HGNC:1996
G277	:HGNC:1994
G278	:HGNC:1991
G279	:HGNC:16148
G280	:HGNC:18290
G281	:HGNC:1864
G282	:HGNC:18175
G283	:HGNC:20233
G284	:HGNC:2244
G285	:HGNC:17973
G286	:HGNC:4205
G287	:HGNC:4203
G288	:HGNC:24141
G289	:HGNC:2321
G290	:HGNC:2422
G291	:HGNC:2342
G292	:HGNC:2366
G293	:HGNC:2520
G294	:HGNC:2519
G295	:HGNC:1795
G296	:HGNC:2501
G297	:HGNC:1550
G298	:HGNC:1712
G299	:HGNC:13203
G300	:HGNC:12562
G301	:HGNC:14859
G302	:HGNC:18170
G303	:HGNC:27015
G304	:HGNC:2855
G305	:HGNC:2856
G306	:HGNC:2851
G307	:HGNC:2857
G308	:HGNC:2849
G309	:HGNC:2852
G310	:HGNC:2854
G311	:HGNC:2850
G312	:HGNC:2853
G313	:HGNC:2671
G314	:HGNC:16065
G315	:HGNC:4330
G316	:HGNC:2727
G317	:HGNC:14601
G318	:HGNC:2703
G319	:HGNC:2704
G320	:HGNC:2710
G321	:HGNC:2709
G322	:HGNC:10571
G323	:HGNC:3575
G324	:HGNC:3574
G325	:HGNC:2843
G326	:HGNC:16940
G327	:HGNC:4693
G328	:HGNC:2858
G329	:HGNC:4416
G330	:HGNC:2859
G331	:HGNC:2651
G332	:HGNC:2860
G333	:HGNC:13709
G334	:HGNC:20113
G335	:HGNC:11377
G336	:HGNC:2861
G337	:HGNC:3014
G338	:HGNC:3015
G339	:HGNC:3013
G340	:HGNC:9752
G341	:HGNC:4249
G342	:HGNC:3631
G343	:HGNC:24475
G344	:HGNC:2978
G345	:HGNC:2979
G346	:HGNC:2976
G347	:HGNC:2977
G348	:HGNC:10381
G349	:HGNC:2728
G350	:HGNC:10382
G351	:HGNC:2664
G352	:HGNC:29565
G353	:HGNC:23157
G354	:HGNC:23161
G355	:HGNC:23162
G356	:HGNC:3005
G357	:HGNC:3006
G358	:HGNC:3007
G359	:HGNC:23056
G360	:HGNC:19358
G361	:HGNC:21063
G362	:HGNC:2689
G363	:HGNC:12442
G364	:HGNC:29932
G365	:HGNC:1093
G366	:HGNC:8889
G367	:HGNC:8888
G368	:HGNC:7529
G369	:HGNC:30325
G370	:HGNC:24269
G371	:HGNC:3061
G372	:HGNC:3012
G373	:HGNC:11831
G374	:HGNC:11830
G375	:HGNC:7892
G376	:HGNC:23061
G377	:HGNC:3078
G378	:HGNC:6176
G379	:HGNC:3133
G380	:HGNC:3151
G381	:HGNC:17
G382	:HGNC:24622
G383	:HGNC:3350
G384	:HGNC:3353
G385	:HGNC:3354
G386	:HGNC:8756
G387	:HGNC:3482
G388	:HGNC:3481
G389	:HGNC:3483
G390	:HGNC:24649
G391	:HGNC:25575
G392	:HGNC:19661
G393	:HGNC:3825
G394	:HGNC:4019
G395	:HGNC:25625
G396	:HGNC:3570
G397	:HGNC:3569
G398	:HGNC:3571
G399	:HGNC:16526
G400	:HGNC:24174
G401	:HGNC:16496
G402	:HGNC:10996
G403	:HGNC:18049
G404	:HGNC:3356
G405	:HGNC:3358
G406	:HGNC:21308
G407	:HGNC:14416
G408	:HGNC:15829
G409	:HGNC:14415
G410	:HGNC:2644
G411	:HGNC:2642
G412	:HGNC:23198
G413	:HGNC:9208
G414	:HGNC:92
G415	:HGNC:88
G416	:HGNC:10606
G417	:HGNC:2753
G418	:HGNC:2754
G419	:HGNC:414
G420	:HGNC:417
G421	:HGNC:418
G422	:HGNC:3606
G423	:HGNC:3607
G424	:HGNC:8873
G425	:HGNC:8874
G426	:HGNC:8875
G427	:HGNC:8872
G428	:HGNC:3647
G429	:HGNC:3978
G430	:HGNC:20797
G431	:HGNC:29500
G432	:HGNC:20910
G433	:HGNC:24671
G434	:HGNC:3824
G435	:HGNC:3974
G436	:HGNC:7437
G437	:HGNC:26777
G438	:HGNC:7432
G439	:HGNC:21055
G440	:HGNC:4008
G441	:HGNC:4006
G442	:HGNC:3700
G443	:HGNC:3579
G444	:HGNC:4012
G445	:HGNC:4014
G446	:HGNC:4020
G447	:HGNC:23159
G448	:HGNC:924
G449	:HGNC:926
G450	:HGNC:928
G451	:HGNC:925
G452	:HGNC:4455
G453	:HGNC:4417
G454	:HGNC:21526
G455	:HGNC:4795
G456	:HGNC:4057
G457	:HGNC:4136
G458	:HGNC:24240
G459	:HGNC:9251
G460	:HGNC:4298
G461	:HGNC:4122
G462	:HGNC:7758
G463	:HGNC:4115
G464	:HGNC:4117
G465	:HGNC:4119
G466	:HGNC:4118
G467	:HGNC:24290
G468	:HGNC:24292
G469	:HGNC:24291
G470	:HGNC:24293
G471	:HGNC:17198
G472	:HGNC:23242
G473	:HGNC:4127
G474	:HGNC:19877
G475	:HGNC:4128
G476	:HGNC:4123
G477	:HGNC:19875
G478	:HGNC:4125
G479	:HGNC:4124
G480	:HGNC:19873
G481	:HGNC:4131
G482	:HGNC:22946
G483	:HGNC:4130
G484	:HGNC:4126
G485	:HGNC:4129
G486	:HGNC:21531
G487	:HGNC:4135
G488	:HGNC:17978
G489	:HGNC:930
G490	:HGNC:12527
G491	:HGNC:7043
G492	:HGNC:95
G493	:HGNC:24864
G494	:HGNC:4141
G495	:HGNC:4163
G496	:HGNC:318
G497	:HGNC:4177
G498	:HGNC:20460
G499	:HGNC:7179
G500	:HGNC:408
G501	:HGNC:4208
G502	:HGNC:4313
G503	:HGNC:473
G504	:HGNC:4204
G505	:HGNC:4241
G506	:HGNC:4242
G507	:HGNC:12390
G508	:HGNC:4248
G509	:HGNC:4700
G510	:HGNC:4699
G511	:HGNC:4706
G512	:HGNC:4707
G513	:HGNC:4260
G514	:HGNC:10850
G515	:HGNC:10852
G516	:HGNC:4296
G517	:HGNC:4180
G518	:HGNC:4696
G519	:HGNC:5322
G520	:HGNC:17855
G521	:HGNC:29270
G522	:HGNC:3512
G523	:HGNC:3513
G524	:HGNC:923
G525	:HGNC:921
G526	:HGNC:922
G527	:HGNC:7632
G528	:HGNC:7680
G529	:HGNC:20779
G530	:HGNC:7681
G531	:HGNC:7682
G532	:HGNC:2995
G533	:HGNC:3518
G534	:HGNC:3516
G535	:HGNC:3515
G536	:HGNC:321
G537	:HGNC:21016
G538	:HGNC:4341
G539	:HGNC:9723
G540	:HGNC:9726
G541	:HGNC:9725
G542	:HGNC:4312
G543	:HGNC:4311
G544	:HGNC:4335
G545	:HGNC:4336
G546	:HGNC:4331
G547	:HGNC:29570
G548	:HGNC:9238
G549	:HGNC:4189
G550	:HGNC:19708
G551	:HGNC:4810
G552	:HGNC:4809
G553	:HGNC:4175
G554	:HGNC:4570
G555	:HGNC:4292
G556	:HGNC:4289
G557	:HGNC:4291
G558	:HGNC:14177
G559	:HGNC:4805
G560	:HGNC:4369
G561	:HGNC:4376
G562	:HGNC:4377
G563	:HGNC:4378
G564	:HGNC:8891
G565	:HGNC:4415
G566	:HGNC:24865
G567	:HGNC:27168
G568	:HGNC:28157
G569	:HGNC:23213
G570	:HGNC:25712
G571	:HGNC:18858
G572	:HGNC:26046
G573	:HGNC:4623
G574	:HGNC:4553
G575	:HGNC:9352
G576	:HGNC:9353
G577	:HGNC:4556
G578	:HGNC:4554
G579	:HGNC:4558
G580	:HGNC:4555
G581	:HGNC:4559
G582	:HGNC:9354
G583	:HGNC:4624
G584	:HGNC:4193
G585	:HGNC:4687
G586	:HGNC:7943
G587	:HGNC:4686
G588	:HGNC:4685
G589	:HGNC:4689
G590	:HGNC:7944
G591	:HGNC:4684
G592	:HGNC:4691
G593	:HGNC:4688
G594	:HGNC:4212
G595	:HGNC:5157
G596	:HGNC:1368
G597	:HGNC:1373
G598	:HGNC:1375
G599	:HGNC:14914
G600	:HGNC:1371
G601	:HGNC:1372
G602	:HGNC:1380
G603	:HGNC:1381
G604	:HGNC:1374
G605	:HGNC:1383
G606	:HGNC:1378
G607	:HGNC:1377
G608	:HGNC:8967
G609	:HGNC:26031
G610	:HGNC:13273
G611	:HGNC:3062
G612	:HGNC:23215
G613	:HGNC:8962
G614	:HGNC:25985
G615	:HGNC:30596
G616	:HGNC:15791
G617	:HGNC:4446
G618	:HGNC:8965
G619	:HGNC:14937
G620	:HGNC:14938
G621	:HGNC:4799
G622	:HGNC:4800
G623	:HGNC:25223
G624	:HGNC:4195
G625	:HGNC:4925
G626	:HGNC:23302
G627	:HGNC:4923
G628	:HGNC:4922
G629	:HGNC:4892
G630	:HGNC:4907
G631	:HGNC:4806
G632	:HGNC:4855
G633	:HGNC:6469
G634	:HGNC:4982
G635	:HGNC:5006
G636	:HGNC:5007
G637	:HGNC:5008
G638	:HGNC:5005
G639	:HGNC:21359
G640	:HGNC:5013
G641	:HGNC:5014
G642	:HGNC:5324
G643	:HGNC:10818
G644	:HGNC:5208
G645	:HGNC:5209
G646	:HGNC:3554
G647	:HGNC:5210
G648	:HGNC:5211
G649	:HGNC:5215
G650	:HGNC:5217
G651	:HGNC:5218
G652	:HGNC:18324
G653	:HGNC:30259
G654	:HGNC:5386
G655	:HGNC:5385
G656	:HGNC:5384
G657	:HGNC:5382
G658	:HGNC:5383
G659	:HGNC:12015
G660	:HGNC:5391
G661	:HGNC:976
G662	:HGNC:977
G663	:HGNC:6052
G664	:HGNC:6053
G665	:HGNC:14522
G666	:HGNC:5387
G667	:HGNC:23487
G668	:HGNC:11449
G669	:HGNC:11450
G670	:HGNC:11448
G671	:HGNC:28577
G672	:HGNC:6315
G673	:HGNC:6381
G674	:HGNC:6530
G675	:HGNC:6522
G676	:HGNC:4323
G677	:HGNC:2648
G678	:HGNC:6708
G679	:HGNC:15449
G680	:HGNC:9035
G681	:HGNC:2014
G682	:HGNC:17804
G683	:HGNC:1848
G684	:HGNC:18590
G685	:HGNC:6619
G686	:HGNC:6677
G687	:HGNC:17038
G688	:HGNC:17934
G689	:HGNC:6622
G690	:HGNC:9157
G691	:HGNC:9156
G692	:HGNC:6623
G693	:HGNC:9155
G694	:HGNC:6685
G695	:HGNC:10547
G696	:HGNC:6710
G697	:HGNC:7063
G698	:HGNC:6719
G699	:HGNC:7064
G700	:HGNC:14129
G701	:HGNC:20263
G702	:HGNC:29489
G703	:HGNC:10761
G704	:HGNC:24948
G705	:HGNC:30412
G706	:HGNC:13726
G707	:HGNC:17287
G708	:HGNC:24650
G709	:HGNC:11479
G710	:HGNC:6824
G711	:HGNC:6825
G712	:HGNC:7044
G713	:HGNC:7048
G714	:HGNC:7047
G715	:HGNC:7046
G716	:HGNC:7049
G717	:HGNC:7045
G718	:HGNC:4643
G719	:HGNC:4139
G720	:HGNC:4065
G721	:HGNC:6823
G722	:HGNC:22923
G723	:HGNC:22932
G724	:HGNC:7216
G725	:HGNC:6936
G726	:HGNC:6937
G727	:HGNC:7150
G728	:HGNC:29622
G729	:HGNC:7223
G730	:HGNC:6970
G731	:HGNC:17836
G732	:HGNC:6971
G733	:HGNC:6984
G734	:HGNC:6983
G735	:HGNC:6985
G736	:HGNC:2593
G737	:HGNC:2652
G738	:HGNC:17449
G739	:HGNC:2595
G740	:HGNC:2621
G741	:HGNC:6903
G742	:HGNC:6904
G743	:HGNC:6905
G744	:HGNC:7468
G745	:HGNC:7530
G746	:HGNC:24862
G747	:HGNC:20739
G748	:HGNC:8956
G749	:HGNC:6080
G750	:HGNC:21474
G751	:HGNC:11503
G752	:HGNC:6079
G753	:HGNC:6077
G754	:HGNC:6076
G755	:HGNC:6071
G756	:HGNC:6179
G757	:HGNC:6178
G758	:HGNC:14897
G759	:HGNC:6051
G760	:HGNC:7449
G761	:HGNC:7450
G762	:HGNC:6050
G763	:HGNC:29821
G764	:HGNC:6075
G765	:HGNC:6074
G766	:HGNC:19080
G767	:HGNC:6821
G768	:HGNC:6822
G769	:HGNC:16732
G770	:HGNC:7526
G771	:HGNC:23248
G772	:HGNC:18210
G773	:HGNC:7413
G774	:HGNC:31865
G775	:HGNC:48859
G776	:HGNC:7434
G777	:HGNC:7436
G778	:HGNC:24337
G779	:HGNC:24104
G780	:HGNC:756
G781	:HGNC:29831
G782	:HGNC:1667
G783	:HGNC:29832
G784	:HGNC:7631
G785	:HGNC:20675
G786	:HGNC:24437
G787	:HGNC:19721
G788	:HGNC:28777
G789	:HGNC:14573
G790	:HGNC:7850
G791	:HGNC:7849
G792	:HGNC:20461
G793	:HGNC:7851
G794	:HGNC:20567
G795	:HGNC:7852
G796	:HGNC:20989
G797	:HGNC:17877
G798	:HGNC:16789
G799	:HGNC:30092
